3guys1pack/Chronos/,Chronos,dance-single,Hard,9
3guys1pack/Chronos/,Chronos,dance-single,Medium,6
3guys1pack/Chronos/,Chronos,dance-single,Easy,3
3guys1pack/Chronos/,Chronos,dance-single,Beginner,1
3guys1pack/Crew (Lido Remix)/,Crew,dance-single,Challenge,10
3guys1pack/Crew (Lido Remix)/,Crew,dance-single,Hard,8
3guys1pack/Crew (Lido Remix)/,Crew,dance-single,Medium,6
3guys1pack/Crew (Lido Remix)/,Crew,dance-single,Easy,3
3guys1pack/Crew (Lido Remix)/,Crew,dance-single,Beginner,1
3guys1pack/D E T A C H E D/,D E T A C H E D,dance-single,Challenge,12
3guys1pack/D E T A C H E D/,D E T A C H E D,dance-single,Hard,10
3guys1pack/D E T A C H E D/,D E T A C H E D,dance-single,Medium,7
3guys1pack/D E T A C H E D/,D E T A C H E D,dance-single,Easy,4
3guys1pack/D E T A C H E D/,D E T A C H E D,dance-single,Beginner,1
3guys1pack/DANCE ALL NIGHT/,DANCE ALL NIGHT,dance-single,Challenge,11
3guys1pack/DANCE ALL NIGHT/,DANCE ALL NIGHT,dance-single,Hard,9
3guys1pack/DANCE ALL NIGHT/,DANCE ALL NIGHT,dance-single,Medium,6
3guys1pack/DANCE ALL NIGHT/,DANCE ALL NIGHT,dance-single,Easy,3
3guys1pack/DANCE ALL NIGHT/,DANCE ALL NIGHT,dance-single,Beginner,1
3guys1pack/Dance with Cannibals/,Dance With Cannibals,dance-single,Challenge,10
3guys1pack/Dance with Cannibals/,Dance With Cannibals,dance-single,Hard,8
3guys1pack/Dance with Cannibals/,Dance With Cannibals,dance-single,Medium,7
3guys1pack/Dance with Cannibals/,Dance With Cannibals,dance-single,Easy,4
3guys1pack/Dance with Cannibals/,Dance With Cannibals,dance-single,Beginner,1
3guys1pack/Fire Starter/,Fire Starter,dance-single,Challenge,11
3guys1pack/Fire Starter/,Fire Starter,dance-single,Hard,10
3guys1pack/Fire Starter/,Fire Starter,dance-single,Medium,7
3guys1pack/Fire Starter/,Fire Starter,dance-single,Easy,4
3guys1pack/Fire Starter/,Fire Starter,dance-single,Beginner,2
3guys1pack/Get off my lawn/,Get off my lawn,dance-single,Challenge,12
3guys1pack/Get off my lawn/,Get off my lawn,dance-single,Hard,10
3guys1pack/Get off my lawn/,Get off my lawn,dance-single,Medium,8
3guys1pack/Get off my lawn/,Get off my lawn,dance-single,Easy,6
3guys1pack/Get off my lawn/,Get off my lawn,dance-single,Beginner,1
3guys1pack/Glimmer/,Glimmer,dance-single,Challenge,11
3guys1pack/Glimmer/,Glimmer,dance-single,Hard,9
3guys1pack/Glimmer/,Glimmer,dance-single,Medium,7
3guys1pack/Glimmer/,Glimmer,dance-single,Easy,4
3guys1pack/Glimmer/,Glimmer,dance-single,Beginner,1
3guys1pack/Headshot/,Headshot,dance-single,Challenge,10
3guys1pack/Headshot/,Headshot,dance-single,Hard,8
3guys1pack/Headshot/,Headshot,dance-single,Medium,5
3guys1pack/Headshot/,Headshot,dance-single,Easy,3
3guys1pack/Headshot/,Headshot,dance-single,Beginner,1
3guys1pack/Into UR Heart/,Into UR Heart,dance-single,Challenge,11
3guys1pack/Into UR Heart/,Into UR Heart,dance-single,Hard,9
3guys1pack/Into UR Heart/,Into UR Heart,dance-single,Medium,7
